视频时长,视频数量
10.23167801,1
10.23,1
10.2,6
10.19999981,2
10.13501167,1
10.0983448,1
10.0666666,1
10.06501102,1
10.0316782,1
10.02333355,1
10.01473904,1
10.00666714,3
10,152
9.958004951,1
9.923333333,9
9.899999619,1
9.898344994,1
9.890000343,1
9.875011444,1
9.872132301,1
9.866666794,2
9.865011215,1
9.840000153,1
9.833333,6
9.798344612,1
9.781995773,1
9.766666412,3
9.765011787,1
9.733333588,2
9.731678009,1
9.731,1
9.699999809,4
9.633333206,1
9.631677628,1
9.605341911,1
9.566666667,1
9.533333778,1
9.5,1
9.497029305,1
9.466666222,1
9.441678047,1
9.436666489,1
9.433333397,1
9.399999619,2
9.366667,1
9.366666794,3
9.365011215,1
9.332766533,1
9.331678391,1
9.308344671,19
9.299002647,1
9.199999809,1
9.133333206,3
9.006667137,1
9.003333092,1
9.000022888,1
9,68
8.999002457,1
8.933333333,1
8.538345,7
8.470000267,1
8.436666489,1
8.265011787,3
8.25834465,1
8,25
7.800000191,1
7.5,1
7.486666679,2
7.133333333,1
7.101677895,1
7,43
6.95,3
6.633333333,1
6.525011338,1
6.479591837,1
6.45,1
6.431677818,3
6.405011338,1
6.331677914,7
6.271678005,1
6.093333244,1
6.0316782,1
6,18
5.766666667,1
5.633333206,1
5.631678005,1
5.533333333,1
5.431678005,1
5.398344671,1
5.371678005,1
5.366666667,1
5.266666889,1
5.233333111,5
5.135011196,19
5.133333206,1
5,33
4.900000095,1
4.75,5
4.599999905,1
4.331677914,1
4.266666889,1
4.230453515,1
4,56
3.662,2
3.633333445,1
3.333333333,1
3.133333333,1
3.116667,3
3,30
1,1
